seed,width,height,rl_success,rl_steps,rl_time,astar_success,astar_steps,astar_time
6551747,114,65,1,118,0.017267942,0,12,0.412264347
6195997,74,95,1,92,0.015463114,0,19,0.259333849
5193930,101,45,1,70,0.008620739,1,67,0.722140074
164685,67,45,1,40,0.00531435,1,34,0.051603794
5440652,111,45,1,71,0.00841856,1,61,0.431919336
2167356,98,36,1,24,0.003031254,0,11,0.030685186
4111522,42,66,1,40,0.004034042,0,19,0.157617092
3525997,59,54,1,40,0.005422115,1,40,0.06882906
4828267,85,95,1,28,0.005535364,1,28,0.021469593
7582802,79,42,1,52,0.006838799,1,50,0.164358377
8047936,70,116,1,26,0.004576683,1,22,0.028772593
3530352,113,89,0,33,0.005986691,0,27,0.095293999
6866874,72,45,1,18,0.002394676,1,18,0.017248392
6331481,86,128,0,0,0,0,0,0
3338040,115,128,1,66,0.02245307,0,46,0.308588743
3990964,49,122,1,14,0.002115726,1,14,0.010083914
1715088,77,83,1,76,0.015945673,1,48,0.185113668
9324955,81,126,1,19,0.002941847,1,19,0.013372421
5035944,123,124,1,46,0.012303829,1,49,0.222891331
7082279,89,108,1,83,0.014203548,0,6,0.088023424
4438653,66,97,1,17,0.002825499,1,17,0.014059305
6410705,73,126,1,137,0.020420551,0,3,0.066565514
5904217,74,66,1,65,0.009598255,0,43,0.12386775
7826970,41,121,1,90,0.010407925,1,58,0.181840897
5349623,61,71,1,16,0.002085209,1,16,0.009935617
3485476,53,60,1,20,0.002763748,0,13,0.009859562
938452,38,47,1,12,0.001504421,1,12,0.003877163
6851358,75,112,1,99,0.019030571,0,77,1.89545846
1240744,90,109,1,14,0.002857208,1,14,0.004208088
3036597,42,67,1,21,0.002235413,1,21,0.017722368
9315531,105,93,0,42,0.009125471,0,43,0.083690643
2380714,116,102,1,78,0.018180132,0,38,0.380208254
4158862,111,111,1,46,0.009219885,0,9,0.038211346
6008167,101,121,1,78,0.017708302,0,29,0.626641035
3823177,109,102,1,98,0.015447617,1,35,0.049301386
589076,114,50,0,4,0.000639915,0,1,0.00346899
9946391,56,106,1,23,0.0029006,1,23,0.022159815
8268177,75,82,1,40,0.007632494,1,16,0.012832403
2307036,103,111,1,67,0.013569117,1,46,0.212945223
3219732,92,105,1,7,0.001542807,1,7,0.001425505
7576019,60,46,1,28,0.004065752,0,10,0.008066654
1026580,95,113,1,78,0.014080286,0,27,0.196248055
8992572,66,67,1,18,0.002660751,1,10,0.003577232
1866378,75,34,1,33,0.00382638,0,3,0.005593061
1204252,49,69,1,194,0.022111416,1,24,0.027380466
1395617,57,44,1,113,0.010983944,1,9,0.00237608
4512077,71,75,1,40,0.005600214,1,40,0.081302881
9714919,112,107,1,38,0.009088278,1,30,0.036203623
6218829,50,33,1,23,0.00308466,1,23,0.04005456
7237030,60,60,0,31,0.00448513,1,29,0.059964895
1512132,52,127,1,21,0.002650499,1,21,0.011247396
88874,69,116,1,63,0.009011745,0,19,0.290640354
5320271,127,95,1,111,0.017399788,1,107,2.064366579
756867,112,81,1,42,0.006519556,1,38,0.164879084
5078184,92,67,1,100,0.016214848,1,75,0.627007484
279608,122,84,1,39,0.006761551,1,39,0.107815027
8716578,125,54,1,80,0.011398554,0,6,0.223261595
5913292,114,80,1,113,0.018236399,0,48,1.656473875
53864,96,47,1,50,0.00611186,1,50,0.103634357
6023482,34,57,1,38,0.004938126,0,8,0.044671774
9990668,68,119,1,30,0.004971266,1,30,0.064032316
7668900,34,92,0,27,0.003431082,1,37,0.09245348
7734063,105,51,1,60,0.007098675,1,52,0.071948051
4689774,109,123,1,250,0.062339544,0,1,0.026328802
8126606,69,52,1,58,0.007254839,0,33,0.087648392
7082612,87,48,1,22,0.002598286,1,20,0.020077229
1938325,42,95,1,43,0.00486207,0,8,0.105253458
3609245,115,89,1,76,0.012199402,0,26,0.520996094
8719480,40,78,1,18,0.00228548,1,10,0.003270626
3946420,113,45,1,45,0.00532341,1,53,0.161921263
2059884,110,83,1,9,0.001624823,1,9,0.003135443
